Ticker,Annualized Return,Annualized Volatility,Sharpe Ratio
AAPL,0.22980721904559748,0.2281489544008651,1.007268342075409
TSLA,0.9080083958311449,0.647845164489247,1.401582423706145
AMD,-0.1808445223044353,0.4731772875121546,-0.38219189102517925
NVDA,1.0245308387458465,0.5308081282142009,1.930134043336296
BAC,0.4356699150913191,0.22839035742504746,1.907567026923613
F,0.05791116252511673,0.35943159490500315,0.16111873120230985
PLTR,1.6866132076469105,0.6529378184707971,2.5831145936637836
INTC,-0.6226456196105615,0.5208454526187031,-1.1954517726516154
AMZN,0.4279410379364357,0.2816631657973567,1.5193361784633175
META,0.5598449927968282,0.36817599705328413,1.5205906883598521
NIO,-0.13278719768789016,0.6883436564624439,-0.19290828998165546
SOFI,0.9632875352806785,0.5659485503699719,1.7020761598398972
CCL,0.4889587077238766,0.41295622857246994,1.1840448790762552
AAL,0.36913571370704723,0.42483930050652274,0.8688831595074612
VALE,-0.32544100757139327,0.2763276161900435,-1.1777360947795106
MSFT,0.1135422940878852,0.20069268104688423,0.5657520418562765
PFE,0.01965627877714578,0.22985304613088048,0.08551672082672035
GOOGL,0.3566560888035204,0.28265970508605237,1.261786106707147
KO,0.08025554618537789,0.1296056604831692,0.6192287118184935
T,0.3845690577288039,0.19826557293697894,1.9396663375897525
WBD,0.04238557529153743,0.4923277534812719,0.08609219161793562
SNAP,-0.13652034769677632,0.7022986324152188,-0.19439073550133532
UBER,0.11672936850758261,0.4018456085582852,0.29048312591090997
GM,0.45085536183123504,0.31902250009552835,1.4132400118995698
XOM,0.2012434867476121,0.19113846329127857,1.0528675562329617
PYPL,0.4502262946064659,0.33821174894034683,1.3311964945542918
VZ,0.08287165732118397,0.20698951183828382,0.4003664561803001
LCID,0.46544450367674906,0.8069483972811193,0.576795871018504
HOOD,1.7065696140611109,0.6182306829982007,2.7604091174913066
WFC,0.5776453263007733,0.2935658125726335,1.9676859551139094
BABA,0.3154778328195727,0.3740783648180909,0.8433469093380612
DIS,0.1906340447140573,0.25428618506626566,0.7496830575533588
JPM,0.4896507882580621,0.23761915706253778,2.060653670819956
RIVN,0.20542183060120056,0.7869632370207801,0.2610310379667409
C,0.5233394628974265,0.27122229180552926,1.9295591797176808
GOOG,0.35314213371123193,0.2793994846501257,1.2639326595517866
PBR,0.06965270642753991,0.3009249994777786,0.2314620139516967
CSCO,0.21929753269418079,0.18012398630180562,1.2174810095904616
NFLX,0.6163692634256769,0.2972830919977948,2.0733411351569533
SHOP,0.4283577507096012,0.530967379039829,0.8067496566064356
JD,0.7473699636335048,0.5455611698128432,1.369910479314158
NOK,0.3491047988449568,0.31571090174378097,1.1057736584854363
NU,0.3239528923903104,0.4012767923404448,0.8073053278283472
DNA,-0.9169536591510209,1.0566294140164445,-0.8678100826906852
COIN,1.229920868375583,0.8633790315777169,1.4245433620597163
PLUG,0.5072910154665062,1.0171583595113927,0.4987335656467407
LYFT,0.2716055682027959,0.6887542041817074,0.39434324546226773
PINS,-0.10571334330265887,0.42496742626307643,-0.24875634406204333
LUMN,2.0529460197907534,1.3104026526167047,1.5666528266646023
FSR,,,
