Stock,Model,MSE,RMSE,Last Price,Forecast Mean,Forecast Std
AAPL,Prophet,5.744598093521157,2.3967891216210817,213.4900054931641,216.5965634014882,24.23243470668399
AAPL,SARIMA,18.729573686427383,4.327767748669905,213.4900054931641,213.67645491446356,0.005211067592112148
AAPL,Theta,24.152403762819894,4.914509513961683,213.4900054931641,220.4628673185297,0.23671328802961894
EGO,Prophet,0.06636312079556113,0.257610405060745,15.260000228881836,15.785247573350077,1.2065361627975792
EGO,Theta,0.20934033354945053,0.4575372482644998,15.260000228881836,13.746694050671413,0.433850165876491
EGO,SARIMA,0.2685325392314698,0.5182012535988983,15.260000228881836,15.082049803872081,0.07607163821924635
MGRM,SARIMA,0.006706408420246288,0.08189266401971722,2.3299999237060547,2.335161992349764,0.005012826291978197
MGRM,Prophet,0.00999132981409359,0.0999566396698768,2.3299999237060547,2.4008838688164325,0.3182666116608964
MGRM,Theta,0.04533906451476085,0.2129297173124523,2.3299999237060547,2.2756044865934992,0.00209900807666621
RIVN,Prophet,0.1463628697986881,0.3825740056494797,10.75,12.177209257636994,2.036345632009174
RIVN,SARIMA,0.17959958116454314,0.42379190785637133,10.75,10.757418120315643,0.0016830994717782505
RIVN,Theta,1.7147648812684129,1.309490313545088,10.75,11.856330759878997,0.33551890111540167
